"Anio_hecho","mes_hecho","Nombre_Municipio","Nombre_Departamento","Total_Victimas","Riesgo"
"1979","8","SOLANO - CAQUETA","CAQUETA",1,"0"
"1979","8","VELEZ - SANTANDER","SANTANDER",1,"0"
"1979","9","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1979","9","EL TAMBO - CAUCA","CAUCA",1,"0"
"1979","9","MONTERIA - CORDOBA","CORDOBA",1,"0"
"1979","9","VILLAVICENCIO - META","META",1,"0"
"1979","10","ARAUQUITA - ARAUCA","ARAUCA",1,"0"
"1979","10","BARRANCABERMEJA - SANTANDER","SANTANDER",1,"0"
"1979","10","FLORENCIA - CAQUETA","CAQUETA",2,"0"
"1979","10","LA MONTAÑITA - CAQUETA","CAQUETA",1,"0"
"1979","10","PUERTO PARRA - SANTANDER","SANTANDER",1,"0"
"1979","10","SANTA MARTA - MAGDALENA","MAGDALENA",1,"0"
"1979","10","SIMACOTA - SANTANDER","SANTANDER",1,"0"
"1979","11","GUARNE - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","11","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","11","PUERTO GUZMAN - PUTUMAYO","PUTUMAYO",1,"0"
"1979","11","SANTA MARTA - MAGDALENA","MAGDALENA",1,"0"
"1979","11","SANTIAGO DE CALI - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1979","12","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1979","12","MARIA LA BAJA - BOLIVAR","BOLIVAR",1,"0"
"1979","12","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","12","SABANALARGA - ATLANTICO","ATLANTICO",1,"0"
"1979","12","SAN JOSE DEL FRAGUA - CAQUETA","CAQUETA",1,"0"
"1979","12","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",1,"0"
"1979","12","SANTA MARTA - MAGDALENA","MAGDALENA",1,"0"
"1979","12","SANTIAGO DE CALI - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1979","12","TIERRALTA - CORDOBA","CORDOBA",1,"0"
"1980","0","BUENAVENTURA - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1980","1","ABEJORRAL - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","1","ARMENIA - QUINDIO","QUINDIO",1,"0"
"1980","1","CIMITARRA - SANTANDER","SANTANDER",1,"0"
"1980","1","EL TAMBO - CAUCA","CAUCA",1,"0"
"1980","1","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1980","1","GENOVA - QUINDIO","QUINDIO",1,"0"
"1980","1","ITAGÜI - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","1","MEDELLIN - ANTIOQUIA","ANTIOQUIA",3,"1"
"1980","1","PEÑOL - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","1","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","1","SAN CARLOS - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","1","SAN ROQUE - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","1","SIMITI - BOLIVAR","BOLIVAR",1,"0"
"1980","1","SINCELEJO - SUCRE","SUCRE",1,"0"
"1980","1","TULUA - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1980","2","APARTADO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","2","IBAGUE - TOLIMA","TOLIMA",1,"0"
"1980","2","SABANA DE TORRES - SANTANDER","SANTANDER",1,"0"
"1980","3","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1980","3","LEJANIAS - META","META",1,"0"
"1980","3","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1980","4","CURILLO - CAQUETA","CAQUETA",1,"0"
"1980","4","POLONUEVO - ATLANTICO","ATLANTICO",1,"0"
"1980","4","PUERTO RICO - CAQUETA","CAQUETA",2,"0"
"1980","4","TARAZA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","5","MIRAFLORES - GUAVIARE","GUAVIARE",1,"0"
"1980","5","SAN CARLOS - CORDOBA","CORDOBA",1,"0"
"1980","5","SAN JOSE DEL GUAVIARE - GUAVIARE","GUAVIARE",1,"0"
"1980","6","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1980","6","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1980","6","FRONTERA VENEZUELA - EXTERIOR","EXTERIOR",1,"0"
"1980","6","MESETAS - META","META",1,"0"
"1980","6","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","7","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","7","SANTIAGO DE CALI - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1980","8","CAREPA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","8","FLORENCIA - CAQUETA","CAQUETA",2,"0"
"1980","8","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",1,"0"
"1980","9","EL DONCELLO - CAQUETA","CAQUETA",1,"0"
"1980","9","SAN PEDRO DE URABA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","9","SANTA MARTA - MAGDALENA","MAGDALENA",1,"0"
"1980","10","APARTADO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","10","CAPARRAPI - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1980","10","CAUCASIA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","10","PUERTO BOYACA - BOYACA","BOYACA",1,"0"
"1980","10","SANTA MARTA - MAGDALENA","MAGDALENA",1,"0"
"1980","11","CAUCASIA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","11","FONSECA - LA GUAJIRA","LA GUAJIRA",1,"0"
"1980","11","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","11","PUERTO TRIUNFO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","11","VERGARA - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1980","11","VILLAVICENCIO - META","META",1,"0"
"1980","12","APARTADO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","12","ARAUQUITA - ARAUCA","ARAUCA",1,"0"
"1980","12","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1980","12","PUERTO RICO - CAQUETA","CAQUETA",1,"0"
"1980","12","SAN FRANCISCO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1980","12","SANTIAGO DE CALI - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1980","12","VILLAVICENCIO - META","META",1,"0"
"1981","0","SUAZA - HUILA","HUILA",1,"0"
"1981","0","VALDIVIA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1981","1","BARRANQUILLA - ATLANTICO","ATLANTICO",1,"0"
"1981","1","CARTAGENA DEL CHAIRA - CAQUETA","CAQUETA",1,"0"
